time,sgReading
15/01/16 06:13:09,5.055556
15/01/16 06:18:09,5.111111
15/01/16 06:23:09,5.444444
15/01/16 06:28:09,5.444444
15/01/16 06:33:09,5.277778
15/01/16 06:38:09,5.333333
15/01/16 06:43:09,5.333333
15/01/16 06:48:09,5.333333
15/01/16 06:53:09,5.388889
15/01/16 06:58:09,5.388889
15/01/16 07:03:09,5.277778
15/01/16 07:08:09,5.111111
15/01/16 07:13:09,4.944444
15/01/16 07:18:09,5
15/01/16 07:23:09,5.111111
15/01/16 07:28:09,5.388889
15/01/16 07:33:09,6.111111
15/01/16 07:38:09,5.888889
15/01/16 07:43:09,5.944444
15/01/16 07:48:09,5.944444
15/01/16 07:53:09,5.944444
15/01/16 07:58:09,5.944444
15/01/16 08:03:09,6
15/01/16 08:08:09,6.111111
15/01/16 08:13:09,5.888889
15/01/16 08:18:09,5.5
15/01/16 08:23:09,5.5
15/01/16 08:28:09,5.555556
15/01/16 08:33:09,5.444444
15/01/16 08:38:09,6.055556
15/01/16 08:43:09,6.444444
15/01/16 08:48:09,6.722222
15/01/16 08:53:09,6.611111
15/01/16 08:58:09,6.555556
15/01/16 09:03:09,6.444444
15/01/16 09:08:09,6.055556
15/01/16 09:13:09,5.944444
15/01/16 09:18:09,5.722222
15/01/16 09:23:09,5.944444
15/01/16 09:28:09,5.722222
15/01/16 09:33:09,5.777778
15/01/16 09:38:09,5.833333
15/01/16 09:43:09,5.777778
15/01/16 09:48:09,5.944444
15/01/16 09:53:09,5.666667
15/01/16 09:58:09,5.5
15/01/16 10:03:09,5.666667
15/01/16 10:08:09,5.777778
15/01/16 10:13:09,6.055556
15/01/16 10:18:09,6.166667
15/01/16 10:23:09,6.222222
15/01/16 10:28:09,6.388889
15/01/16 10:33:09,6.388889
15/01/16 10:38:09,6.333333
15/01/16 10:43:09,6.388889
15/01/16 10:48:09,6.333333
15/01/16 10:53:08,6.444444
15/01/16 10:58:08,6.5
15/01/16 11:03:08,6.388889
15/01/16 11:08:08,6.277778
15/01/16 11:13:08,6.611111
15/01/16 11:18:08,6.666667
15/01/16 11:23:09,6.5
15/01/16 11:28:08,6.555556
15/01/16 11:33:08,6.666667
15/01/16 11:38:08,6.611111
15/01/16 11:43:08,6.611111
15/01/16 11:48:08,6.444444
15/01/16 11:53:08,6.444444
15/01/16 11:58:08,6.5
15/01/16 12:03:08,6.5
15/01/16 12:08:08,6.166667
15/01/16 12:13:08,6.111111
15/01/16 12:18:08,6.388889
15/01/16 12:23:08,6.388889
15/01/16 12:28:08,6.277778
15/01/16 12:33:08,6.277778
15/01/16 12:38:08,6.222222
15/01/16 12:43:08,6.388889
15/01/16 12:48:08,6.888889
15/01/16 12:53:08,7.111111
15/01/16 12:58:08,7.222222
15/01/16 13:03:08,7.277778
15/01/16 13:08:08,7.388889
15/01/16 13:13:08,7.444444
15/01/16 13:18:08,7.444444
15/01/16 13:23:08,6.888889
15/01/16 13:28:08,6.944444
15/01/16 13:33:08,5.722222
15/01/16 13:38:08,5.666667
15/01/16 13:43:08,5.5
15/01/16 13:48:08,5.333333
15/01/16 13:53:08,5.333333
15/01/16 13:58:08,5.388889
15/01/16 14:03:08,5.722222
15/01/16 14:08:08,5.777778
15/01/16 14:13:08,5.777778
15/01/16 14:18:08,6
15/01/16 14:23:08,5.944444
15/01/16 14:28:08,6.055556
15/01/16 14:33:08,6.111111
15/01/16 14:38:08,6.222222
15/01/16 14:43:08,6
15/01/16 14:48:08,6.277778
15/01/16 14:53:08,6.333333
15/01/16 14:58:08,6.277778
15/01/16 15:03:08,6.222222
15/01/16 15:08:08,6.111111
15/01/16 15:13:08,6.166667
15/01/16 15:18:08,5.722222
15/01/16 15:23:08,5.777778
15/01/16 15:28:08,5.777778
15/01/16 15:33:08,5.555556
15/01/16 15:38:08,5.722222
15/01/16 15:43:08,5.777778
15/01/16 15:48:08,5.611111
15/01/16 15:53:08,5.777778
15/01/16 15:58:08,5.888889
15/01/16 16:03:07,6
15/01/16 16:08:07,6
15/01/16 16:13:07,6
15/01/16 16:18:07,6.055556
15/01/16 16:23:07,6.222222
15/01/16 16:28:07,6.166667
15/01/16 16:33:07,6.111111
15/01/16 16:38:07,6.055556
15/01/16 16:43:07,5.777778
15/01/16 16:48:07,5.777778
15/01/16 16:53:07,5.833333
15/01/16 16:58:07,5.666667
15/01/16 17:03:07,5.666667
15/01/16 17:08:07,5.555556
15/01/16 17:13:07,5.444444
15/01/16 17:18:07,5.388889
15/01/16 17:23:07,5.388889
15/01/16 17:28:07,5.055556
15/01/16 17:33:07,4.888889
15/01/16 17:38:07,4.722222
15/01/16 17:43:07,4.722222
15/01/16 17:48:07,4.611111
15/01/16 17:53:07,4.611111
15/01/16 17:58:07,4.777778
15/01/16 18:03:07,4.666667
15/01/16 18:08:07,4.555556
15/01/16 18:13:07,4.333333
15/01/16 18:18:07,4.5
15/01/16 18:23:08,4.444444
15/01/16 18:28:07,4.611111
15/01/16 18:33:07,4.833333
15/01/16 18:38:07,4.944444
15/01/16 18:43:07,5
15/01/16 18:48:07,5.055556
15/01/16 18:53:07,5.277778
15/01/16 18:58:07,5.166667
15/01/16 19:03:07,5.5
15/01/16 19:08:07,5.555556
15/01/16 19:13:07,5.333333
15/01/16 19:18:07,5.166667
15/01/16 19:23:07,4.833333
15/01/16 19:28:07,4.5
15/01/16 19:33:07,4.222222
15/01/16 19:38:07,3.944444
15/01/16 19:43:07,3.722222
15/01/16 19:48:07,3.944444
15/01/16 19:53:07,4.166667
15/01/16 19:58:07,4.055556
15/01/16 20:03:07,4.222222
15/01/16 20:08:07,4.5
15/01/16 20:13:07,4.666667
15/01/16 20:18:07,4.833333
15/01/16 20:23:07,5
15/01/16 20:28:07,5.222222
15/01/16 20:33:07,5.333333
15/01/16 20:38:07,5.444444
15/01/16 20:43:07,5.388889
15/01/16 20:48:07,5.444444
15/01/16 20:53:07,5.444444
15/01/16 20:58:07,5.166667
15/01/16 21:03:07,5
15/01/16 21:08:06,5.277778
15/01/16 21:13:06,5.777778
15/01/16 21:18:07,5.277778
15/01/16 21:23:06,5.388889
15/01/16 21:28:06,5.5
15/01/16 21:33:06,5.888889
15/01/16 21:38:06,5.833333
15/01/16 21:43:06,5.888889
15/01/16 21:48:06,5.944444
15/01/16 21:53:06,6.055556
15/01/16 21:58:06,5.833333
15/01/16 22:03:06,5.333333
15/01/16 22:08:06,5.833333
15/01/16 22:13:06,5.722222
15/01/16 22:18:06,5.555556
15/01/16 22:23:06,5.666667
15/01/16 22:28:06,5.055556
15/01/16 22:33:06,4.888889
15/01/16 22:38:06,4.777778
15/01/16 22:43:06,4.722222
15/01/16 22:48:06,5.111111
15/01/16 22:53:06,5
15/01/16 22:58:06,4.833333
15/01/16 23:03:06,4.388889
15/01/16 23:08:06,4.277778
15/01/16 23:13:06,4.388889
15/01/16 23:18:06,4.5
15/01/16 23:23:06,4.555556
15/01/16 23:28:06,4.833333
15/01/16 23:33:06,5
15/01/16 23:38:06,5.166667
15/01/16 23:43:06,5.277778
15/01/16 23:48:06,5.222222
15/01/16 23:53:06,5.333333
15/01/16 23:58:06,5.5
16/01/16 00:03:06,5.5
16/01/16 00:08:06,5.333333
16/01/16 00:13:06,5.111111
16/01/16 00:18:06,4.944444
